,0
71,"['scj61842;', '48;', 'video1Start:1612374692450,video1Done,fragebogen1Start:1612375349145,fragebogen1Ende:1612375606519,video2Start:1612375608721,video2Done,fragebogen2Start:1612376354235,fragebogen2Ende:1612376734281,video3Start:1612376736583,video3Done,fragebogen3Start:1612377936330,fragebogen3Ende:1612378556681,video4Start:1612378558838,video4Done,fragebogen4Start:1612379301341,fragebogen4Ende:1612379839345,']"
72,"['sck08620;', '69;', 'video1Start:1611927805039,video1Done,fragebogen1Start:1611928484546,fragebogen1Ende:1611928745857,video2Start:1611928748355,video2Done,fragebogen2Start:1611929510410,fragebogen2Ende:1611930421115,video3Start:1611930423393,video3Done,fragebogen3Start:1611931777311,fragebogen3Ende:1611932302467,video4Start:1611932304893,video4Done,fragebogen4Start:1611933902664,fragebogen4Ende:1611934688811,']"
73,"['scm58704;', '33;', 'video1Start:1611520977447,video1Done,fragebogen1Start:1611521620209,fragebogen1Ende:1611522202051,video2Start:1611522204228,video2Done,fragebogen2Start:1611523001344,fragebogen2Ende:1611523675821,video3Start:1611523678633,video3Done,fragebogen3Start:1611524396727,fragebogen3Ende:1611524944625,video4Start:1611524946736,video4Done,fragebogen4Start:1611525375370,video4Done,fragebogen4Start:1611525386454,fragebogen4Ende:1611525722650,']"
74,"['scn14591;', '51;', 'video1Start:1612792440227,video1Done,fragebogen1Start:1612793091859,fragebogen1Ende:1612793557338,video2Start:1612793559439,video2Done,fragebogen2Start:1612794288534,fragebogen2Ende:1612794692951,video3Start:1612794695181,video3Done,fragebogen3Start:1612795364420,fragebogen3Ende:1612795762649,video4Start:1612795764900,video4Done,fragebogen4Start:1612795930660,fragebogen4Ende:1612796350586,']"
75,"['sel21602;', '53;', 'nullvideo1Start:1611782353699,video1Done,fragebogen1Start:1611782918881,fragebogen1Ende:1611783015453,video2Start:1611783019311,video2Done,fragebogen2Start:1611783616438,fragebogen2Ende:1611783980704,video3Start:1611783984206,video3Done,fragebogen3Start:1611784644510,fragebogen3Ende:1611785061345,video4Start:1611785064350,video4Done,fragebogen4Start:1611785781786,fragebogen4Ende:1611786054915,']"
76,"['sis11856;', '9;', 'video1Start:1611313771601,video1Done,fragebogen1Start:1611314542240,fragebogen1Ende:1611314854860,video2Start:1611314857377,video2Done,fragebogen2Start:1611315739053,fragebogen2Ende:1611316184937,video3Start:1611316187023,video3Done,fragebogen3Start:1611316816302,fragebogen3Ende:1611317301964,video4Start:1611317304178,video4Done,fragebogen4Start:1611317928310,fragebogen4Ende:1611318409532,']"
77,"['sk;', '72;', 'video1Start:1612036004487,video1Done,fragebogen1Start:1612036538618,video1Done,fragebogen1Start:1612036543916,fragebogen1Ende:1612037857115,video2Start:1612037859570,']"
78,"['sta59549;', '35;', 'video1Start:1611582335890,video1Done,fragebogen1Start:1611583039981,fragebogen1Ende:1611583280035,video2Start:1611583281946,video2Done,fragebogen2Start:1611583954666,fragebogen2Ende:1611584360262,video3Start:1611584362319,video3Done,fragebogen3Start:1611584796411,fragebogen3Ende:1611585179523,video4Start:1611585181820,video4Done,fragebogen4Start:1611586445786,fragebogen4Ende:1611586897149,']"
79,"['stf21760;', '14;', 'video1Start:1611319045915,video1Done,fragebogen1Start:1611319696794,fragebogen1Ende:1611319925501,video2Start:1611319928049,video2Done,fragebogen2Start:1611320667923,fragebogen2Ende:1611321129782,video3Start:1611321131960,video3Done,fragebogen3Start:1611322001302,fragebogen3Ende:1611322368174,video4Start:1611322371363,video4Done,fragebogen4Start:1611323080370,fragebogen4Ende:1611323397146,video4Start:1611323496949,video4Done,fragebogen4Start:1611323500046,']"
80,"['trh05045;', '49;', 'video1Start:1611747215317,video1Done,fragebogen1Start:1611747218642,fragebogen1Ende:1611747409781,video2Start:1611747411618,video2Done,fragebogen2Start:1611747414481,fragebogen2Ende:1611747583734,video3Start:1611747585795,video3Done,fragebogen3Start:1611747699601,fragebogen3Ende:1611748084266,video4Start:1611748086257,video4Done,fragebogen4Start:1611748262926,fragebogen4Ende:1611748519307,']"
81,"['ttt12345;', '5;', 'video1Start:1611304937303,video1Done,fragebogen1Start:1611304981958,']"
82,"['vog61493;', '20;', 'video1Start:1611334832531,video1Done,fragebogen1Start:1611335481583,fragebogen1Ende:1611335910805,video2Start:1611335912635,video2Done,fragebogen2Start:1611416059183,fragebogen2Ende:1611416509183,video3Start:1611416511288,video3Done,fragebogen3Start:1611417598383,fragebogen3Ende:1611418215738,video4Start:1611418217568,video4Done,fragebogen4Start:1611419543331,fragebogen4Ende:1611422921805,']"
83,"['wea31472;', '23;', 'video1Start:1612364725319,video1Done,fragebogen1Start:1612365367903,fragebogen1Ende:1612365578312,video2Start:1612365580591,video2Done,fragebogen2Start:1612366317348,fragebogen2Ende:1612366708333,video3Start:1612366710784,video3Done,fragebogen3Start:1612367478899,fragebogen3Ende:1612367912380,video4Start:1612367914566,video4Done,fragebogen4Start:1612368632133,fragebogen4Ende:1612368879609,']"
84,"['wij19211;', '29;', 'video1Start:1611495727533,video1Done,fragebogen1Start:1611496399558,fragebogen1Ende:1611496623449,video2Start:1611496625292,video2Done,fragebogen2Start:1611497371033,fragebogen2Ende:1611497699921,video3Start:1611497701960,video3Done,fragebogen3Start:1611498442796,fragebogen3Ende:1611499007814,video4Start:1611499009847,video4Done,fragebogen4Start:1611499736824,fragebogen4Ende:1611500256449,']"
85,"['wiq52065;', '30;', 'video1Start:1611502586403,video1Done,fragebogen1Start:1611503309236,fragebogen1Ende:1611503606449,video2Start:1611503608515,video2Done,fragebogen2Start:1611504101885,fragebogen2Ende:1611504508552,video3Start:1611504510520,video3Done,fragebogen3Start:1611504938435,fragebogen3Ende:1611505388568,video4Start:1611505390429,video4Done,fragebogen4Start:1611505886349,fragebogen4Ende:1611506349734,']"
86,"['wiv60633;', '63;', 'video1Start:1611852222376,video1Done,fragebogen1Start:1611852873090,fragebogen1Ende:1611853066662,video2Start:1611853068795,video2Done,fragebogen2Start:1611853812445,fragebogen2Ende:1611854457327,video3Start:1611854459374,video3Done,fragebogen3Start:1611855277862,fragebogen3Ende:1611855859241,video4Start:1611855861244,video4Done,fragebogen4Start:1611856594079,fragebogen4Ende:1611857035687,']"
87,"['zem08369;', '44;', 'video1Start:1611676750912,video1Done,fragebogen1Start:1611677394893,fragebogen1Ende:1611677706948,video2Start:1611677709071,video2Done,fragebogen2Start:1611678446267,fragebogen2Ende:1611678896750,video3Start:1611678898820,video3Done,fragebogen3Start:1611679629202,fragebogen3Ende:1611679826666,video4Start:1611679828811,video4Done,fragebogen4Start:1611680557863,fragebogen4Ende:1611680810314,']"
